date,open,high,low,close,volume,symbol
2024-09-19,13.35,13.44,13.295,13.4,2619200,PDBC
2024-09-20,13.39,13.43,13.33,13.41,2056900,PDBC
2024-09-23,13.44,13.52,13.31,13.41,1878600,PDBC
2024-09-24,13.6,13.64,13.554,13.62,2153600,PDBC
2024-09-25,13.56,13.605,13.46,13.52,3009800,PDBC
2024-09-26,13.43,13.515,13.37,13.41,4781600,PDBC
2024-09-27,13.4,13.49,13.36,13.46,3987300,PDBC
2024-09-30,13.43,13.506,13.375,13.43,3686900,PDBC
2024-10-01,13.39,13.795,13.39,13.66,4980700,PDBC
2024-10-02,13.83,13.895,13.675,13.77,5195500,PDBC
2024-10-03,13.81,14.02,13.77,13.99,3950200,PDBC
2024-10-04,14.04,14.11,13.985,14.03,3770000,PDBC
2024-10-07,14.06,14.25,14.06,14.23,4260400,PDBC
2024-10-08,13.96,13.98,13.75,13.88,7072800,PDBC
2024-10-09,13.67,13.78,13.593,13.78,12524300,PDBC
2024-10-10,13.84,14.05,13.826,14.03,3445900,PDBC
2024-10-11,14.03,14.095,14.01,14.05,2617600,PDBC
2024-10-14,13.84,13.92,13.8,13.85,1880700,PDBC
2024-10-15,13.51,13.586,13.47,13.57,2570500,PDBC
2024-10-16,13.54,13.57,13.46,13.54,2124300,PDBC
2024-10-17,13.49,13.555,13.435,13.54,3360600,PDBC
2024-10-18,13.51,13.53,13.411,13.47,3304200,PDBC
2024-10-21,13.58,13.625,13.49,13.54,1596000,PDBC
2024-10-22,13.64,13.79,13.64,13.75,2275900,PDBC
2024-10-23,13.69,13.74,13.634,13.71,1810500,PDBC
2024-10-24,13.77,13.809,13.604,13.71,2384100,PDBC
2024-10-25,13.72,13.795,13.7,13.76,1567500,PDBC
2024-10-28,13.4,13.47,13.38,13.43,3455500,PDBC
2024-10-29,13.42,13.45,13.33,13.41,2062600,PDBC
2024-10-30,13.47,13.57,13.435,13.56,1710400,PDBC
2024-10-31,13.56,13.665,13.505,13.64,4129400,PDBC
2024-11-01,13.71,13.725,13.51,13.53,2383700,PDBC
2024-11-04,13.67,13.735,13.645,13.72,2385200,PDBC
2024-11-05,13.81,13.85,13.74,13.79,1543400,PDBC
2024-11-06,13.49,13.735,13.49,13.66,2960900,PDBC
2024-11-07,13.69,13.825,13.655,13.79,1919200,PDBC
2024-11-08,13.68,13.685,13.55,13.6,1951400,PDBC
2024-11-11,13.41,13.43,13.331,13.38,2739500,PDBC
2024-11-12,13.42,13.45,13.3,13.3,2290400,PDBC
2024-11-13,13.245,13.327,13.163,13.26,3910200,PDBC
2024-11-14,13.35,13.36,13.22,13.24,2532300,PDBC
2024-11-15,13.27,13.335,13.17,13.18,2213800,PDBC
