date,open,high,low,close,volume,symbol
2024-09-19,40.52,40.71,40.21,40.46,4436100,PSQ
2024-09-20,40.56,40.92,40.47,40.58,2672400,PSQ
2024-09-23,40.47,40.59,40.39,40.48,1803500,PSQ
2024-09-24,40.37,40.72,40.21,40.29,3031800,PSQ
2024-09-25,39.68,39.68,39.42,39.57,1878900,PSQ
2024-09-26,38.97,39.59,38.95,39.3,3466900,PSQ
2024-09-27,39.23,39.63,39.23,39.54,2474000,PSQ
2024-09-30,39.62,39.86,39.42,39.44,4315500,PSQ
2024-10-01,39.48,40.31,39.46,40.0,6456700,PSQ
2024-10-02,40.08,40.29,39.8,39.96,3210700,PSQ
2024-10-03,40.15,40.2,39.74,39.99,3775300,PSQ
2024-10-04,39.52,39.95,39.51,39.53,4810100,PSQ
2024-10-07,39.71,40.07,39.62,39.98,3708700,PSQ
2024-10-08,39.78,39.83,39.32,39.38,3609300,PSQ
2024-10-09,39.42,39.49,39.03,39.07,3422100,PSQ
2024-10-10,39.27,39.38,38.99,39.14,3339100,PSQ
2024-10-11,39.32,39.36,39.03,39.12,2373000,PSQ
2024-10-14,38.92,38.96,38.68,38.78,4818000,PSQ
2024-10-15,38.77,39.47,38.72,39.32,3800300,PSQ
2024-10-16,39.3,39.57,39.24,39.32,2115100,PSQ
2024-10-17,38.88,39.29,38.87,39.28,2524800,PSQ
2024-10-18,39.09,39.16,38.97,39.06,1921600,PSQ
2024-10-21,39.16,39.32,38.93,38.99,2895200,PSQ
2024-10-22,39.21,39.27,38.85,38.96,3181200,PSQ
2024-10-23,39.17,39.83,39.11,39.57,3791600,PSQ
2024-10-24,39.28,39.48,39.21,39.26,2301800,PSQ
2024-10-25,39.06,39.11,38.66,39.05,3271600,PSQ
2024-10-28,38.8,39.07,38.8,39.05,3188200,PSQ
2024-10-29,39.02,39.17,38.59,38.68,3184300,PSQ
2024-10-30,38.74,39.02,38.68,38.98,3496300,PSQ
2024-10-31,39.31,39.98,39.3,39.97,5084600,PSQ
2024-11-01,39.87,39.89,39.43,39.72,4509600,PSQ
2024-11-04,39.77,39.98,39.56,39.84,3326300,PSQ
