date,open,high,low,close,volume,symbol
2024-09-19,44.16,44.4,44.0,44.16,10944850,SH
2024-09-20,44.28,44.52,44.2,44.32,7156225,SH
2024-09-23,44.2,44.32,44.12,44.2,5736700,SH
2024-09-24,44.12,44.36,44.08,44.08,6738675,SH
2024-09-25,43.52,43.72,43.48,43.64,5206725,SH
2024-09-26,43.28,43.64,43.24,43.48,7732725,SH
2024-09-27,43.4,43.64,43.32,43.56,6268975,SH
2024-09-30,43.64,43.84,43.32,43.4,7877250,SH
2024-10-01,43.4,44.0,43.4,43.8,18683975,SH
2024-10-02,43.84,44.04,43.68,43.8,8710100,SH
2024-10-03,43.88,44.04,43.68,43.84,8224525,SH
2024-10-04,43.52,43.88,43.44,43.52,7042200,SH
2024-10-07,43.6,44.0,43.56,43.92,6377375,SH
2024-10-08,43.68,43.76,43.44,43.48,4134850,SH
2024-10-09,43.48,43.56,43.16,43.2,5442150,SH
2024-10-10,43.28,43.4,43.16,43.28,5938425,SH
2024-10-11,43.32,43.36,43.0,43.08,5292400,SH
2024-10-14,42.92,42.96,42.64,42.72,5927150,SH
2024-10-15,42.68,43.16,42.68,43.08,6768525,SH
2024-10-16,43.04,43.12,42.84,42.88,4908725,SH
2024-10-17,42.6,42.92,42.6,42.88,7595800,SH
2024-10-18,42.76,42.92,42.68,42.72,3327975,SH
2024-10-21,42.8,43.04,42.72,42.84,4714475,SH
2024-10-22,43.0,43.08,42.76,42.88,5918500,SH
2024-10-23,43.0,43.52,43.0,43.28,6261250,SH
2024-10-24,43.12,43.4,43.08,43.2,5511350,SH
2024-10-25,43.0,43.32,42.8,43.24,8074975,SH
2024-10-28,42.96,43.12,42.96,43.12,4419000,SH
2024-10-29,43.16,43.32,42.96,43.08,5123575,SH
2024-10-30,43.08,43.24,42.92,43.2,6314800,SH
2024-10-31,43.52,44.04,43.52,44.04,7708425,SH
2024-11-01,43.88,43.92,43.52,43.92,10715175,SH
2024-11-04,43.92,44.16,43.8,44.0,6530825,SH
2024-11-05,43.92,43.92,43.48,43.48,6331825,SH
2024-11-06,42.52,42.84,42.32,42.4,9928775,SH
2024-11-07,42.25,42.26,42.01,42.09,5230500,SH
2024-11-08,42.08,42.08,41.84,41.94,8923400,SH
2024-11-11,41.83,42.02,41.8,41.9,7413800,SH
2024-11-12,41.92,42.22,41.87,42.04,9293300,SH
2024-11-13,42.01,42.19,41.88,42.03,5176100,SH
2024-11-14,42.03,42.35,41.99,42.31,6403100,SH
2024-11-15,42.6,43.0,42.56,42.89,4364800,SH
2024-11-18,42.85,42.92,42.62,42.72,2993000,SH
2024-11-19,42.97,43.02,42.51,42.57,3117600,SH
2024-11-20,42.57,42.98,42.55,42.57,3863800,SH
2024-11-21,42.37,42.79,42.24,42.35,5990100,SH
2024-11-22,42.36,42.4,42.2,42.24,3247200,SH
2024-11-25,41.96,42.27,41.88,42.11,4481000,SH
2024-11-26,42.02,42.08,41.85,41.9,2508500,SH
2024-11-27,41.93,42.15,41.9,42.05,4587200,SH
2024-11-29,42.02,42.02,41.75,41.82,1290200,SH
2024-12-02,41.79,41.83,41.7,41.75,5246900,SH
2024-12-03,41.77,41.85,41.72,41.75,4009200,SH
2024-12-04,41.63,41.68,41.48,41.5,4330100,SH
2024-12-05,41.5,41.59,41.44,41.57,2769200,SH
2024-12-06,41.54,41.57,41.44,41.51,4081200,SH
2024-12-09,41.53,41.78,41.53,41.75,2239700,SH
2024-12-10,41.71,41.92,41.68,41.88,2135100,SH
2024-12-11,41.69,41.7,41.49,41.55,2298500,SH
2024-12-12,41.63,41.79,41.6,41.78,2643400,SH
2024-12-13,41.68,41.93,41.63,41.82,2390700,SH
2024-12-16,41.71,41.77,41.59,41.65,2071600,SH
2024-12-17,41.85,41.94,41.77,41.84,3055100,SH
2024-12-18,41.88,43.13,41.71,43.1,6146000,SH
2024-12-19,42.74,43.14,42.62,43.13,5104200,SH
2024-12-20,43.33,43.39,42.3,42.65,6752000,SH
2024-12-23,41.96,42.19,41.65,41.69,3666700,SH
2024-12-24,41.61,41.66,41.25,41.25,1315300,SH
2024-12-26,41.38,41.48,41.17,41.25,2927600,SH
2024-12-27,41.55,42.01,41.53,41.71,4394800,SH
2024-12-30,42.23,42.47,41.96,42.2,4033800,SH
2024-12-31,42.11,42.5,42.06,42.38,5411600,SH
2025-01-02,42.14,42.79,42.02,42.5,7720300,SH
2025-01-03,42.3,42.39,41.94,42.0,4012100,SH
2025-01-06,41.68,41.87,41.44,41.76,4424600,SH
2025-01-07,41.62,42.36,41.6,42.22,5757300,SH
2025-01-08,42.25,42.49,42.1,42.2,5591700,SH
2025-01-10,42.47,42.99,42.47,42.86,9262500,SH
2025-01-13,43.22,43.25,42.79,42.8,5786500,SH
2025-01-14,42.59,43.03,42.55,42.76,4812300,SH
2025-01-15,42.17,42.25,41.9,41.99,4806300,SH
2025-01-16,41.89,42.13,41.89,42.07,2797400,SH
2025-01-17,41.73,41.83,41.56,41.68,4423700,SH
2025-01-21,41.48,41.62,41.32,41.33,3674100,SH
2025-01-22,41.12,41.16,41.0,41.1,2674800,SH
2025-01-23,41.15,41.16,40.88,40.88,2506100,SH
2025-01-24,40.9,41.1,40.84,41.02,1576200,SH
2025-01-27,41.93,41.93,41.59,41.61,5782700,SH
2025-01-28,41.53,41.76,41.2,41.27,2347600,SH
2025-01-29,41.33,41.63,41.3,41.46,5178100,SH
2025-01-30,41.31,41.54,41.13,41.25,4761700,SH
