date,open,high,low,close,volume,symbol
2024-09-19,14.21,14.62,14.08,14.61,5843300,UNG
2024-09-20,14.57,15.4,14.51,15.34,6978600,UNG
2024-09-23,15.57,16.1,15.53,16.09,8030500,UNG
2024-09-24,15.88,16.08,15.61,15.81,5523800,UNG
2024-09-25,16.02,16.09,15.71,15.85,5305700,UNG
2024-09-26,16.01,16.04,15.35,15.47,7273400,UNG
2024-09-27,15.89,16.45,15.84,16.37,9982000,UNG
2024-09-30,16.24,16.57,16.21,16.33,4395600,UNG
2024-10-01,16.25,16.53,16.05,16.37,6976800,UNG
2024-10-02,16.63,16.76,16.14,16.41,6496300,UNG
2024-10-03,16.64,16.8,16.48,16.68,5628900,UNG
2024-10-04,16.33,16.43,15.93,15.94,6119800,UNG
2024-10-07,15.66,15.67,15.22,15.38,5846800,UNG
2024-10-08,15.43,15.6,15.23,15.25,4643200,UNG
2024-10-09,15.18,15.32,14.82,14.86,5305500,UNG
2024-10-10,14.74,15.19,14.63,15.13,5696500,UNG
2024-10-11,14.97,15.03,14.72,14.8,3820200,UNG
2024-10-14,14.35,14.41,13.98,13.99,5819800,UNG
2024-10-15,14.22,14.36,13.99,14.01,4195200,UNG
2024-10-16,13.77,13.79,13.35,13.44,8522300,UNG
2024-10-17,13.55,13.65,13.27,13.31,5290700,UNG
2024-10-18,13.1,13.13,12.95,13.03,6993900,UNG
2024-10-21,13.12,13.28,13.09,13.25,6271600,UNG
2024-10-22,13.28,13.68,13.26,13.5,8757000,UNG
2024-10-23,13.51,13.97,13.4,13.82,7599900,UNG
2024-10-24,13.89,14.35,13.61,14.32,8660800,UNG
2024-10-25,14.1,14.54,14.02,14.45,6217900,UNG
2024-10-28,13.43,13.55,13.14,13.34,11750300,UNG
2024-10-29,13.44,13.55,13.24,13.41,6109200,UNG
2024-10-30,13.11,13.44,13.05,13.23,7399700,UNG
2024-10-31,12.97,13.07,12.61,12.71,12949400,UNG
2024-11-01,12.72,12.78,12.35,12.48,7922000,UNG
2024-11-04,12.58,13.11,12.53,13.06,10459400,UNG
2024-11-05,13.1,13.13,12.44,12.53,8676400,UNG
2024-11-06,12.79,13.12,12.68,12.87,7324700,UNG
2024-11-07,12.62,12.76,12.48,12.66,7981000,UNG
2024-11-08,12.75,12.89,12.41,12.53,6011500,UNG
2024-11-11,13.68,13.88,13.56,13.8,13101900,UNG
2024-11-12,13.66,14.14,13.43,13.66,9680400,UNG
2024-11-13,13.49,14.14,13.43,14.11,9264000,UNG
2024-11-14,13.79,13.9,13.12,13.15,8651400,UNG
2024-11-15,13.1,13.42,13.07,13.37,7318200,UNG
2024-11-18,13.48,13.82,13.48,13.75,8377100,UNG
2024-11-19,13.79,14.18,13.71,13.87,8884400,UNG
2024-11-20,14.35,14.82,14.24,14.75,13846300,UNG
2024-11-21,15.39,15.52,14.81,15.15,11904800,UNG
2024-11-22,14.29,14.42,14.07,14.31,14879000,UNG
2024-11-25,14.98,15.44,14.72,14.79,11781600,UNG
2024-11-26,15.01,15.27,14.67,15.08,10170100,UNG
2024-11-27,14.05,14.18,13.81,13.81,9147000,UNG
2024-11-29,14.35,14.65,14.24,14.43,4681700,UNG
2024-12-02,13.97,14.2,13.77,13.88,9656700,UNG
2024-12-03,13.6,13.6,13.13,13.21,9444000,UNG
2024-12-04,13.15,13.35,12.9,13.26,8384500,UNG
2024-12-05,13.42,13.66,13.2,13.32,6637600,UNG
2024-12-06,13.22,13.44,13.15,13.37,4222400,UNG
2024-12-09,13.76,13.96,13.59,13.77,6923600,UNG
2024-12-10,13.38,13.83,13.31,13.81,6877200,UNG
2024-12-11,14.28,14.74,14.28,14.56,10133100,UNG
2024-12-12,14.71,15.42,14.49,15.04,13176100,UNG
2024-12-13,14.57,14.6,14.16,14.23,7033000,UNG
2024-12-16,13.84,14.07,13.8,13.95,5668400,UNG
2024-12-17,13.62,14.48,13.41,14.46,7641100,UNG
2024-12-18,14.49,14.7,14.3,14.54,6517300,UNG
2024-12-19,14.85,15.44,14.79,15.4,9531300,UNG
2024-12-20,15.31,16.02,15.13,15.87,11632600,UNG
2024-12-23,15.67,15.73,15.24,15.63,7477600,UNG
2024-12-24,16.0,16.21,15.96,16.14,4116700,UNG
2024-12-26,15.34,15.42,15.09,15.37,10900000,UNG
2024-12-27,15.74,15.89,15.29,15.76,11302800,UNG
2024-12-30,18.63,19.48,17.69,18.03,30104400,UNG
2024-12-31,17.15,17.5,16.6,16.81,15119400,UNG
2025-01-02,17.23,17.62,16.86,17.01,14092900,UNG
2025-01-03,16.18,16.25,15.46,15.59,16484500,UNG
2025-01-06,17.01,17.26,16.5,17.16,16600100,UNG
2025-01-07,16.62,16.72,15.92,15.99,16343200,UNG
2025-01-08,16.6,17.14,16.48,17.11,13468200,UNG
2025-01-10,18.26,18.64,18.0,18.42,14921800,UNG
2025-01-13,18.47,18.75,17.86,18.22,14321700,UNG
2025-01-14,17.73,18.83,17.72,18.47,12135900,UNG
2025-01-15,18.73,19.18,18.42,19.12,13993100,UNG
2025-01-16,19.09,20.03,18.68,19.94,16418300,UNG
2025-01-17,18.5,18.92,18.28,18.34,9260500,UNG
