date,open,high,low,close,volume,symbol
2024-09-19,116.16,117.58,115.19,116.0,12660600,XOM
2024-09-20,115.46,115.51,114.25,115.27,36206200,XOM
2024-09-23,115.33,117.79,115.12,117.36,16066300,XOM
2024-09-24,117.84,118.16,116.83,117.05,11984900,XOM
2024-09-25,116.49,117.05,114.04,114.77,13816000,XOM
2024-09-26,111.14,113.48,111.14,112.8,16887900,XOM
2024-09-27,113.76,116.09,113.25,115.82,15964000,XOM
2024-09-30,115.46,117.39,114.96,117.22,13247600,XOM
2024-10-01,116.04,120.6,115.93,119.93,23235900,XOM
2024-10-02,121.93,122.82,120.2,121.52,17129700,XOM
2024-10-03,121.9,123.17,120.93,122.58,16524300,XOM
2024-10-04,123.2,125.19,122.43,124.83,19752300,XOM
2024-10-07,125.25,126.34,124.86,125.37,15714400,XOM
2024-10-08,123.88,124.02,121.26,122.04,14818500,XOM
2024-10-09,120.9,122.58,120.8,122.09,11144900,XOM
2024-10-10,123.16,123.7,122.29,123.14,10243300,XOM
2024-10-11,123.1,124.03,122.94,123.61,8294800,XOM
2024-10-14,123.24,124.26,122.62,124.08,9808100,XOM
2024-10-15,120.82,121.95,119.78,120.35,15771300,XOM
2024-10-16,120.89,121.44,120.6,120.66,8426800,XOM
2024-10-17,120.76,121.58,119.71,120.35,11204900,XOM
2024-10-18,120.44,120.64,119.15,120.01,12898600,XOM
2024-10-21,120.98,121.48,119.72,120.08,10177800,XOM
2024-10-22,120.26,121.19,119.94,120.7,9201400,XOM
2024-10-23,119.97,120.75,119.4,120.27,8320300,XOM
2024-10-24,120.0,120.44,119.13,119.59,9905600,XOM
2024-10-25,120.2,120.43,119.32,119.49,10714600,XOM
2024-10-28,116.79,119.01,116.77,118.9,11844500,XOM
2024-10-29,118.58,119.17,117.07,117.28,14731000,XOM
2024-10-30,117.66,118.27,116.48,116.69,12303700,XOM
2024-10-31,117.15,118.67,116.68,116.78,20512000,XOM
2024-11-01,119.93,119.95,114.84,114.95,20939300,XOM
2024-11-04,116.07,118.7,115.93,118.61,14965400,XOM
2024-11-05,119.08,119.21,118.01,118.96,10436700,XOM
2024-11-06,121.15,121.91,119.3,121.0,20807700,XOM
2024-11-07,121.3,121.5,119.61,121.15,12184400,XOM
2024-11-08,120.98,121.42,119.66,121.11,12836000,XOM
2024-11-11,121.0,121.62,120.07,120.47,11969700,XOM
2024-11-12,121.13,121.31,119.84,120.35,11972800,XOM
2024-11-13,120.57,122.05,118.8,121.47,15127900,XOM
2024-11-14,121.66,121.88,120.33,120.56,13041800,XOM
2024-11-15,120.4,121.24,119.13,119.31,19051700,XOM
2024-11-18,119.79,120.62,119.27,120.31,14239700,XOM
2024-11-19,119.75,119.75,118.2,118.63,11584400,XOM
2024-11-20,119.17,120.47,118.64,120.32,11360900,XOM
2024-11-21,121.08,122.55,120.27,121.93,14675400,XOM
2024-11-22,121.82,123.21,121.64,121.79,13323400,XOM
2024-11-25,121.43,121.88,119.61,119.97,26580300,XOM
2024-11-26,119.53,119.68,117.85,117.97,14827300,XOM
2024-11-27,118.09,118.73,117.43,117.66,11079100,XOM
2024-11-29,117.44,118.5,116.95,117.96,9426500,XOM
2024-12-02,118.05,118.2,116.82,117.85,12687300,XOM
2024-12-03,118.72,118.72,117.26,117.67,11756600,XOM
2024-12-04,117.5,117.55,113.86,114.28,19520600,XOM
2024-12-05,114.71,115.62,114.06,114.78,15751200,XOM
2024-12-06,114.54,114.77,113.5,113.57,16171100,XOM
2024-12-09,114.64,114.94,112.75,112.9,17412600,XOM
2024-12-10,113.59,113.88,111.75,112.67,20990900,XOM
2024-12-11,112.0,112.39,111.11,111.92,32392200,XOM
2024-12-12,111.59,112.38,110.78,111.82,14543300,XOM
2024-12-13,111.9,111.9,110.25,110.84,13106100,XOM
2024-12-16,110.2,110.4,108.16,108.47,20256100,XOM
2024-12-17,107.24,108.17,106.79,108.01,17554000,XOM
2024-12-18,107.57,108.83,106.31,106.42,17114500,XOM
2024-12-19,107.39,107.67,105.21,105.51,20565600,XOM
2024-12-20,105.45,106.14,104.84,105.87,40141200,XOM
2024-12-23,105.31,106.6,104.92,106.3,12285100,XOM
2024-12-24,106.52,107.19,105.7,106.4,7807000,XOM
2024-12-26,106.52,107.03,105.94,106.49,9652400,XOM
2024-12-27,106.3,107.99,105.77,106.48,11943900,XOM
2024-12-30,106.3,106.56,105.51,105.76,11080800,XOM
2024-12-31,106.17,107.9,105.78,107.57,12387800,XOM
2025-01-02,108.28,109.0,106.88,107.31,12685400,XOM
2025-01-03,108.0,108.49,107.46,107.86,14237900,XOM
2025-01-06,108.24,109.78,107.52,107.74,15623700,XOM
2025-01-07,108.94,110.06,108.28,108.75,12625900,XOM
2025-01-08,107.31,107.71,106.01,106.93,17858100,XOM
2025-01-10,108.7,110.1,105.78,106.54,19304500,XOM
2025-01-13,107.13,109.63,107.13,109.29,17073400,XOM
2025-01-14,108.79,109.76,107.83,109.72,11191200,XOM
2025-01-15,110.05,111.73,109.47,111.51,14521100,XOM
2025-01-16,111.19,111.69,110.55,111.32,10366600,XOM
2025-01-17,111.03,112.87,110.82,112.32,19298500,XOM
2025-01-21,112.05,112.18,111.13,111.47,20416300,XOM
2025-01-22,111.2,111.57,109.4,109.53,15718000,XOM
2025-01-23,110.31,111.14,109.61,110.15,13726800,XOM
2025-01-24,110.24,110.71,108.41,108.66,14235900,XOM
2025-01-27,109.01,110.45,108.39,110.17,15926700,XOM
2025-01-28,110.41,110.87,107.79,108.04,15862000,XOM
2025-01-29,107.71,108.78,107.47,108.67,12345500,XOM
2025-01-30,109.24,109.85,108.7,109.57,14346300,XOM
2025-01-31,110.55,110.55,106.1,106.83,20376500,XOM
2025-02-03,106.64,107.3,105.32,107.09,14623200,XOM
2025-02-04,106.71,110.28,106.53,109.96,14835700,XOM
2025-02-05,109.74,110.01,109.1,109.88,13364400,XOM
2025-02-06,110.77,111.05,107.99,108.43,13411400,XOM
2025-02-07,108.78,109.73,108.32,108.89,10051600,XOM
2025-02-10,110.01,111.03,109.88,110.97,12142200,XOM
2025-02-11,111.6,112.51,110.82,111.67,12713100,XOM
2025-02-12,110.05,110.23,107.18,107.35,18244100,XOM
2025-02-13,107.15,108.41,106.52,108.13,15460000,XOM
2025-02-14,108.52,110.23,108.1,108.24,15733500,XOM
2025-02-18,108.63,110.99,108.32,110.14,20060300,XOM
2025-02-19,110.76,112.13,110.06,110.3,10964700,XOM
2025-02-20,110.57,112.42,109.95,112.0,16325800,XOM
2025-02-21,111.32,111.85,110.56,110.69,14710000,XOM
